Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Viña Alcanta,2020,4764038,Tinto 2020,3.5,244,2.25,Alicante
Ayuso,2020,2084964,Abadia del Roble Tinto 2020,3.2,95,2.41,La Mancha
Faustino Rivero Ulecia,2018,5841016,Joven Tempranillo - Garnacha 2018,3.2,54,2.97,Rioja
Bodega Rochal,2019,4190807,Calixto Rufete 2019,3.2,28,2.98,Sierra de Salamanca
Cata Regia,2018,2417548,Crianza 2018,3.6,112,2.99,Terra Alta
Marqués de la Concordia,2015,2805851,MM Tinto Crianza 2015,3.1,101,3.0,Cataluña
Antaño,2020,1401663,Rioja Tempranillo 2020,3.3,306,3.2,Rioja
Corona de Aragón,2011,2185794,Special Selection 2011,3.5,287,3.22,Cariñena
Navajas,2018,7893993,Garnacha 2018,3.4,52,3.45,Rioja
Luzon,2018,6065522,Colección Monastrell 2018,3.4,136,3.5,Jumilla
Canforrales,2018,1252277,Clásico Tempranillo 2018,3.6,117,3.5,La Mancha
Don Diego Escolano,2016,1194905,Reserva 2016,3.1,34,3.51,Cariñena
Osborne,2020,2915910,Solaz Tempranillo 2020,3.3,348,3.57,Castilla
Las Campanas,2018,3407133,Tempranillo 2018,3.5,29,3.61,Navarra
Finca La Estacada,2014,5376743,Tempranillo Crianza 2014,3.6,377,3.62,La Mancha
Gran Feudo,2017,5608644,626 Barricas Edición Limitada Crianza 2017,3.2,41,3.62,Navarra
Dominio de Eguren,2019,1207654,Protocolo Tinto 2019,3.5,538,3.65,Castilla
Osborne,2020,81714,Solaz Tempranillo - Cabernet Sauvignon 2020,3.5,404,3.69,Castilla
El Circo,2020,1594712,Arlequín Syrah 2020,3.6,48,3.75,Cariñena
Enate,2018,1158423,Tapas Tempranillo 2018,3.3,208,3.78,Somontano
Los Hermanos Manzanos,2020,1657531,Tempranillo 2020,3.6,134,3.79,Rioja
El Circo,2020,2137289,Volatinero Tempranillo 2020,3.6,295,3.9,Cariñena
Félix Solís,2019,3349567,Casa Albali Tempranillo - Shiraz 2019,3.6,157,3.95,Valdepeñas
Reserva de la Tierra,2017,6485347,Pago de Pelde Syrah - Tempranillo 2017,3.8,118,3.99,Terra Alta
Félix Solís,2012,2667778,Casa Albali Crianza 2012,2.9,43,3.99,Valdepeñas
Hoya de Cadenas,2018,1437851,Reserva Tempranillo 2018,3.4,171,3.99,Utiel-Requena
Bach,2020,1255221,Viña Extrísima Tinto 2020,3.2,146,4.0,Cataluña
Ca N'Estella,2019,1446183,Clot Dels Oms Petit Tinto 2019,3.3,58,4.0,Penedès
Ayuso,2017,2198505,Estola Crianza 2017,3.4,268,4.03,La Mancha
Bodegas Aragonesas,2020,1577616,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2020,3.5,108,4.1,Campo de Borja
Finca del Mar,2018,76609,Tempranillo Crianza 2018,3.4,226,4.166666666666667,Utiel-Requena
Valcarlos,2014,1169714,Fortius Crianza 2014,3.6,223,4.2,Navarra
Berceo,2016,1141591,Crianza 2016,3.6,193,4.21,Rioja
Bodegas Faustino,2020,9880817,VII Cabernet Sauvignon 2020,3.7,55,4.21,Vino de España
Federico Paternina,2019,13190,Banda Azul Crianza 2019,3.5,166,4.21,Rioja
Falset Marçà,2020,1373160,Imus Selection 2020,3.3,92,4.22,Montsant
Bodegas Vallobera,2014,1205627,Crianza Rioja 2014,3.6,635,4.26,Rioja
Honoro Vera,2018,2141257,Organic Monastrell 2018,3.7,964,4.28,Jumilla
Berceo,2018,5389307,Tempranillo 2018,3.5,185,4.28,Rioja
Bodega Pirineos,2021,2696722,Montesierra Red Blend 2021,3.3,42,4.3,Somontano
Monasterio de Las Vinas,2018,7957055,Reserva Grandes Vinos L'Héritage Cariñena 2018,3.6,57,4.3,Cariñena
Rigau Ros,2018,1467514,Criança 2018,3.7,38,4.3,Empordà
El Aviador,2020,1223778,Tempranillo 2020,3.4,99,4.35,Castilla y León
